state_id,state_name,region,latitude,longitude,population,area_sq_km
1,Andhra Pradesh,South,15.9129,79.74,53900000,162970
2,Arunachal Pradesh,Northeast,28.218,94.7278,1600000,83743
3,Assam,Northeast,26.2006,92.9376,35600000,78438
4,Bihar,East,25.0961,85.3131,124800000,94163
5,Chhattisgarh,Central,21.2787,81.8661,29400000,135192
6,Goa,West,15.2993,74.124,1600000,3702
7,Gujarat,West,22.2587,71.1924,70400000,196244
8,Haryana,North,29.0588,76.0856,28900000,44212
9,Himachal Pradesh,North,31.1048,77.1734,7300000,55673
10,Jharkhand,East,23.6102,85.2799,38600000,79716
11,Karnataka,South,15.3173,75.7139,67600000,191791
12,Kerala,South,10.8505,76.2711,35700000,38852
13,Madhya Pradesh,Central,22.9734,78.6569,85400000,308245
14,Maharashtra,West,19.7515,75.7139,123100000,307713
15,Manipur,Northeast,24.6637,93.9063,3100000,22327
16,Meghalaya,Northeast,25.467,91.3662,3400000,22429
17,Mizoram,Northeast,23.1645,92.9376,1200000,21081
18,Nagaland,Northeast,26.1584,94.5624,2200000,16579
19,Odisha,East,20.9517,85.0985,46400000,155707
20,Punjab,North,31.1471,75.3412,30100000,50362
21,Rajasthan,North,27.0238,74.2179,81000000,342239
22,Sikkim,Northeast,27.533,88.5122,700000,7096
23,Tamil Nadu,South,11.1271,78.6569,77800000,130060
24,Telangana,South,18.1124,79.0193,39600000,112077
25,Tripura,Northeast,23.9408,91.9882,4099999,10486
26,Uttar Pradesh,North,26.8467,80.9462,231500000,240928
27,Uttarakhand,North,30.0668,79.0193,32900000,53483
28,West Bengal,East,22.9868,87.855,99600000,88752
29,Delhi (NCT),North,28.7041,77.1025,32900000,1484
30,Jammu and Kashmir,North,33.7782,76.5762,13600000,42241
31,Ladakh,North,34.1526,77.5771,300000,59146
32,Puducherry,South,11.9416,79.8083,1500000,479
