outbreak_id,date_id,state_id,disease_id,source_id,new_outbreak_flag,controlled_flag,containment_rate_pct,response_time_hours,alert_level,predicted_cases,historical_cases,forecast_accuracy_pct,hospital_readiness_score,resource_readiness_score,emergency_alert_flag,state_name_raw
1,6,3,6,6,yes,yes,100.0,55.2,High,42,44,97.8,62.4,71.6,no,Assam
2063,2,5,5,4,yes,no,100.0,36.9,Low,1140,854,68.8,86.7,64.6,no,Chhattisgarh
2069,7,25,6,1,yes,yes,100.0,57.1,Moderate,943,1162,81.95,44.4,62.6,no,Tripura
1361,28,7,6,2,yes,no,100.0,90.3,Low,4877,3493,60.7,89.2,64.2,no,Gujarat
236,2,6,2,1,yes,no,100.0,28.9,High,3618,3358,87.8,73.7,74.8,yes,Goa
1351,25,9,6,3,yes,yes,100.0,79.8,Moderate,4204,3105,63.9,61.1,100.0,no,Himachal Pradesh
2073,16,8,10,2,yes,yes,100.0,16.8,Low,4829,4125,86.2,52.5,68.9,no,Haryana
245,8,14,3,4,yes,yes,100.0,73.6,Low,2483,3306,78.1,100.0,50.0,no,Maharashtra
89,33,27,3,3,yes,no,100.0,17.2,Low,245,198,79.6,63.3,60.1,no,Uttarakhand
247,2,26,5,4,yes,yes,100.0,3.5,Moderate,876,980,88.9,88.1,49.9,no,Uttar Pradesh
1275,2,23,3,2,yes,yes,100.0,52.9,Moderate,1015,1165,88.1,66.5,74.5,no,Tamil Nadu
1256,17,30,1,2,yes,yes,100.0,57.2,Low,1763,2272,82.1,56.6,60.3,no,Jammu And Kashmir
2119,32,16,12,5,yes,yes,100.0,75.1,Moderate,2973,3375,84.4,42.5,36.7,no,Meghalaya
2131,29,14,8,4,yes,yes,100.0,26.7,Moderate,2289,2394,99.3,51.8,51.9,no,Maharashtra
255,33,12,1,2,yes,no,100.0,30.0,Low,111,143,81.95,73.1,41.9,no,Kerala
78,35,11,6,5,yes,no,100.0,31.1,Low,5788,4913,78.9,87.4,75.9,no,Karnataka
1254,30,11,6,5,yes,yes,100.0,49.9,High,1804,2453,70.9,68.1,73.1,no,Karnataka
2161,7,11,11,5,yes,no,100.0,87.6,Low,2367,2374,95.6,64.3,76.4,no,Karnataka
1241,20,18,12,1,yes,yes,100.0,71.2,Moderate,2533,2079,75.7,61.1,100.0,no,Nagaland
2184,6,6,8,3,yes,yes,100.0,2.8,Low,1757,1461,82.0,55.6,69.0,no,Goa
1239,11,28,8,3,yes,yes,100.0,2.7,High,2997,3182,92.7,84.1,75.8,no,West Bengal
1226,2,30,4,6,yes,yes,100.0,87.0,Moderate,4213,3172,64.6,59.5,40.4,no,Jammu And Kashmir
2202,35,28,7,1,yes,yes,100.0,59.5,Low,2411,2823,86.8,72.5,86.0,no,West Bengal
1835,15,24,6,3,yes,no,100.0,94.3,Moderate,3683,4552,80.1,86.3,64.9,no,Telangana
2216,9,25,1,6,yes,yes,100.0,71.5,Low,232,291,74.9,0.0,50.3,no,Tripura
67,32,15,10,5,yes,yes,100.0,59.3,Low,3083,2564,80.5,45.4,73.1,no,Manipur
269,2,31,6,5,yes,yes,100.0,56.5,Moderate,5373,4609,85.8,84.4,83.0,no,Ladakh
1175,15,23,8,5,yes,no,100.0,0.0,Low,5984,4417,60.7,84.0,49.8,no,Tamil Nadu
2062,6,20,1,1,yes,yes,100.0,3.3,Moderate,731,694,91.7,81.8,75.8,no,Punjab
1097,36,13,4,5,yes,no,100.0,75.1,Low,6155,4668,69.8,56.0,79.3,no,Madhya Pradesh
1391,36,17,1,6,yes,yes,100.0,30.5,Low,2727,2811,100.0,75.3,100.0,no,Mizoram
1455,16,26,11,5,yes,yes,100.0,46.7,Moderate,41,47,86.7,96.5,26.7,no,Uttar Pradesh
1815,24,21,9,4,yes,yes,100.0,62.0,Moderate,1861,1989,92.5,0.0,74.7,no,Rajasthan
1850,21,4,6,3,yes,no,100.0,38.9,Low,2178,2469,91.1,66.9,45.5,no,Bihar
146,28,17,12,3,yes,yes,100.0,46.9,Low,2715,2762,96.1,70.0,79.0,no,Mizoram
1852,28,11,10,5,yes,yes,100.0,6.2,Low,990,739,66.1,62.6,61.9,no,Karnataka
1808,25,22,9,2,yes,no,100.0,76.4,Low,5436,4416,74.2,75.2,57.9,no,Sikkim
1783,14,15,10,3,yes,yes,100.0,0.0,Low,4698,4638,96.3,73.1,49.6,no,Manipur
1779,32,17,8,1,yes,yes,100.0,19.2,Moderate,1242,1322,96.4,72.0,46.5,no,Mizoram
1883,36,29,1,5,yes,no,100.0,39.9,Low,1449,1391,100.0,58.8,77.2,no,Delhi (Nct)
1777,19,16,10,2,yes,yes,100.0,61.5,Moderate,3955,4309,90.2,52.5,73.3,no,Meghalaya
1745,26,18,11,6,yes,yes,100.0,79.3,Low,1886,1395,64.4,98.5,82.2,no,Nagaland
165,20,5,11,5,yes,yes,100.0,73.5,Moderate,851,1002,88.0,39.8,81.1,no,Chhattisgarh
1736,8,2,8,6,yes,yes,100.0,65.9,Moderate,3777,4293,81.95,89.9,58.1,no,Arunachal Pradesh
1920,28,9,1,2,yes,yes,100.0,31.5,Moderate,1789,1767,94.6,67.3,71.1,no,Himachal Pradesh
1709,20,3,8,2,yes,no,100.0,15.5,Moderate,808,746,92.1,76.2,87.3,no,Assam
1705,30,27,4,5,yes,yes,100.0,0.0,Low,3028,3930,77.3,73.6,59.4,no,Uttarakhand
1935,26,27,9,1,yes,yes,100.0,75.3,Moderate,3928,4713,88.2,99.2,97.7,no,Uttarakhand
1698,7,25,6,4,yes,yes,100.0,61.5,Low,1987,2728,71.9,67.3,45.6,no,Tripura
