fact_id,date_id,state_id,disease_id,source_id,population_under_surveillance,total_reported_cases,active_cases,recovered_cases,deaths,urban_cases,rural_cases,hospitalized_cases,icu_admissions,case_fatality_rate,recovery_rate,public_health_risk_score,report_date_raw
1,1,1,1,6,46850798,2091,139,1889,63,1368,723,143,42,3.01,90.34,31.3,2022-01-01 00:00:00
2,1,1,2,6,46330962,2357,180,2101,76,1039,1318,505,81,3.22,89.14,32.1,2022-01-01 00:00:00
3,1,1,3,2,49588439,2936,427,2430,79,1941,995,716,195,2.69,82.77,32.3,2022-01-01 00:00:00
4,1,1,4,1,47346875,335,21,306,8,166,169,81,10,2.39,91.34,10,2022-01-01 00:00:00
5,1,1,5,5,52543820,310,30,466,2,195,115,42,10,0.65,89.68,2.9,2022-01-01 00:00:00
6,1,1,6,4,51190319,1123,101,1010,12,396,727,87,8,1.07,89.94,16.5,2022-01-01 00:00:00
7,1,1,7,1,50384933,1061,115,928,18,655,406,82,6,1.7,87.46,14.7,2022-01-01 00:00:00
8,1,1,8,5,49117954,1275,137,1113,25,668,607,141,8,1.96,87.29,14.9,2022-01-01 00:00:00
9,1,1,9,5,51185974,1091,202,885,4,624,467,118,25,0.37,81.12,14.1,2022-01-01 00:00:00
10,1,1,10,6,49865947,1009,241,761,7,539,470,68,15,0.69,75.42,8,2022-01-01 00:00:00
11,1,1,11,4,46769077,771,117,642,12,381,390,85,17,1.56,83.27,7.7,2022-01-01 00:00:00
12,1,1,12,5,48016073,2299,384,1858,57,1463,836,560,137,2.48,80.82,28.3,2022-01-01 00:00:00
13,1,2,1,1,1542044,25,6,19,0,10,15,2,0,0,76,11.4,2022-01-01 00:00:00
14,1,2,2,2,1478557,84,10,73,7,43,41,15,1,1.19,86.9,25.2,2022-01-01 00:00:00
15,1,2,3,3,1501819,51,7,44,0,29,22,4,1,0,86.27,14.4,2022-01-01 00:00:00
16,1,2,4,2,1497214,5,1,466,0,2,3,0,0,0,80,5.9,2022-01-01 00:00:00
17,1,2,5,3,1393659,23,4,19,0,15,8,3,0,0,82.61,11.1,2022-01-01 00:00:00
18,1,2,6,4,1579842,14,3,11,0,9,5,2,0,0,78.57,0.5,2022-01-01 00:00:00
19,1,2,7,3,1429820,13,3,10,0,6,7,2,0,0,76.92,8.6,2022-01-01 00:00:00
20,1,2,8,1,1539665,27,6,21,0,20,7,1,0,0,77.78,12.4,2022-01-01 00:00:00
21,1,2,9,5,1539229,45,9,36,0,22,23,9,1,0,80,10,2022-01-01 00:00:00
22,1,2,10,4,1569894,14,4,10,0,5,9,3,0,0,71.43,5.4,2022-01-01 00:00:00
23,1,2,11,3,1391637,17,1,16,0,6,11,2,0,0,94.12,2.6,2022-01-01 00:00:00
24,1,2,12,5,1537356,23,3,20,0,15,8,3,0,0,86.96,9.3,2022-01-01 00:00:00
25,1,3,1,3,30392749,610,80,523,7,283,327,70,32,1.15,85.74,16.3,2022-01-01 00:00:00
26,1,3,2,6,34555287,1532,328,1196,8,901,631,205,59,0.52,78.07,27.4,2022-01-01 00:00:00
27,1,3,3,6,33496124,1114,250,862,2,493,621,240,59,0.18,77.38,16.5,2022-01-01 00:00:00
28,1,3,4,3,31583463,1186,181,987,18,826,360,160,34,1.52,83.22,20.8,2022-01-01 00:00:00
29,1,3,5,2,31917187,241,49,186,6,98,143,15,2,2.49,77.18,14.1,2022-01-01 00:00:00
30,1,3,6,4,31192585,321,59,260,2,115,206,25,1,0.62,81,1.9,2022-01-01 00:00:00
31,1,3,7,6,30492156,270,39,225,6,189,81,30,5,2.22,83.33,14,2022-01-01 00:00:00
32,1,3,8,2,30802927,586,68,513,5,292,294,78,4,0.85,87.54,11,2022-01-01 00:00:00
33,1,3,9,2,34422410,1052,207,811,34,780,272,230,63,3.23,77.09,27.5,2022-01-01 00:00:00
34,1,3,10,6,33675267,753,96,653,4,402,351,115,30,0.53,86.72,11,2022-01-01 00:00:00
35,1,3,11,6,32286338,533,76,448,9,264,269,51,7,1.69,84.05,10.8,2022-01-01 00:00:00
36,1,3,12,6,33744816,976,16,928,32,550,426,142,18,3.28,95.08,27,2022-01-01 00:00:00
37,1,4,1,6,108552965,6237,1022,5073,142,3916,2321,1228,123,2.28,81.34,35.4,2022-01-01 00:00:00
38,1,4,2,4,117193727,6559,1348,5041,170,4811,1748,1555,131,2.59,76.86,37.1,2022-01-01 00:00:00
39,1,4,3,6,116655875,5445,878,4387,180,3247,2198,914,67,3.31,80.57,28.5,2022-01-01 00:00:00
40,1,4,4,2,108321412,841,53,772,16,496,345,176,30,1.9,91.8,13.4,2022-01-01 00:00:00
41,1,4,5,1,120354601,1204,163,1013,28,582,622,246,53,2.33,84.14,15.8,2022-01-01 00:00:00
42,1,4,6,1,119739716,978,199,767,12,513,465,77,21,1.23,78.43,6.4,2022-01-01 00:00:00
43,1,4,7,4,108297918,1783,209,1525,49,1135,648,223,66,2.75,85.53,19.9,2022-01-01 00:00:00
44,1,4,8,2,111609120,2918,335,2566,17,1551,1367,546,28,0.58,87.94,16.7,2022-01-01 00:00:00
45,1,4,9,5,111394765,1814,66,1727,21,1358,456,374,29,1.16,95.2,14.5,2022-01-01 00:00:00
46,1,4,10,3,110588301,4081,281,3658,142,2892,1189,734,53,3.48,89.63,22.1,2022-01-01 00:00:00
47,1,4,11,4,117422919,1646,68,1564,14,579,1067,298,17,0.85,95.02,4.7,2022-01-01 00:00:00
48,1,4,12,6,121766989,2643,549,2015,79,1741,902,555,156,2.99,76.24,21.5,2022-01-01 00:00:00
49,1,5,1,3,28229679,352,47,303,2,243,109,70,14,0.57,86.08,4.2,2022-01-01 00:00:00
50,1,5,2,6,28889082,607,6,586,15,362,245,104,6,2.47,96.54,13.2,2022-01-01 00:00:00
51,1,5,3,3,27514341,1779,365,1406,8,1180,599,437,71,0.45,79.03,33,2022-01-01 00:00:00
52,1,5,4,4,27231835,296,34,259,3,214,82,56,11,1.01,87.5,4.5,2022-01-01 00:00:00
53,1,5,5,4,27788714,549,119,427,3,286,263,57,7,0.55,77.78,12.1,2022-01-01 00:00:00
54,1,5,6,2,25984864,295,34,259,2,152,143,33,1,0.68,87.8,6.8,2022-01-01 00:00:00
55,1,5,7,1,26892554,588,50,524,14,391,197,106,13,2.38,89.12,17.6,2022-01-01 00:00:00
56,1,5,8,1,28517428,951,67,867,17,524,427,70,60,1.79,91.17,21.7,2022-01-01 00:00:00
57,1,5,9,2,26463513,334,69,466,6,124,210,21,5,1.8,77.54,8.9,2022-01-01 00:00:00
58,1,5,10,4,27639706,392,87,295,10,195,197,84,22,2.55,75.26,10.9,2022-01-01 00:00:00
59,1,5,11,4,26700381,90,0,87,3,56,34,18,2,3.33,96.67,13.6,2022-01-01 00:00:00
60,1,5,12,4,27441825,820,104,709,7,561,259,67,6,0.85,86.46,21.4,2022-01-01 00:00:00
61,1,6,1,5,1472638,119,19,100,0,77,42,15,1,0,84.03,36.5,2022-01-01 00:00:00
62,1,6,2,1,1478389,25,7,18,0,13,12,2,0,1.37,72,8.7,2022-01-01 00:00:00
63,1,6,3,1,1447986,15,2,13,0,9,6,2,0,0,86.67,0.3,2022-01-01 00:00:00
64,1,6,4,5,1500909,28,5,23,0,15,13,5,1,0,82.14,12.8,2022-01-01 00:00:00
65,1,6,5,6,1402601,23,4,19,0,16,7,1,0,0,82.61,8.5,2022-01-01 00:00:00
