Column Name,count,mean,std,min,25%,50%,75%,max,missing_values,data_type
fact_id,1152,576.5,332.7,1,288.75,576.5,864.25,1152,0,int64
date_id,1152,18.5,10.39,1,9.75,18.5,27.25,36,0,int64
state_id,1152,16.5,9.24,1,8.75,16.5,24.25,32,0,int64
total_tests,1152,34994.32,42523.84,123,2552,23532,48461.75,273771,0,float64
positive_tests,1152,3451.55,4871.77,2,251.75,1734.5,4523,42112,0,float64
positivity_rate,1152,10.09,4.58,2,6.02,10.22,13.91,18,0,float64
vaccination_coverage_pct,1152,71.54,15.31,45,58.38,71.1,84.72,99,0,float64
booster_coverage_pct,1152,35.92,11.46,14.1,27.5,34.4,43,67.6,0,float64
hospital_beds,1152,8059.21,10503.82,28,630.75,4897.5,10562.75,68757,0,float64
doctors,1152,2405.7,3145.33,6,163.25,1520,3163,20512,0,int64
phc_count,1152,219.36,281.28,0,14,140,301.25,1839,0,int64
chc_count,1152,74.43,99.02,0,5,45,97.25,664,0,int64
icu_utilization_pct,1152,63.85,19.53,30.1,47.1,63.4,79.72,100,0,float64
bed_occupancy_pct,1152,65.61,18.16,35,49.8,65.25,81.22,100,0,float64
reporting_compliance_pct,1152,80.34,11.27,60.1,71.07,80.1,89.82,100,0,float64
turnaround_time_days,1152,2.76,1.32,0.5,1.6,2.8,3.9,5,0,float64
reporting_rate_pct,1152,77.73,13.13,55,66.1,77.3,89.5,99.9,0,float64
