fact_id,date_id,state_id,total_tests,positive_tests,positivity_rate,vaccination_coverage_pct,booster_coverage_pct,hospital_beds,doctors,phc_count,chc_count,icu_utilization_pct,bed_occupancy_pct,reporting_compliance_pct,turnaround_time_days,reporting_rate_pct
1,1,1,22918,4084.0,17.82,76.8,51.4,12451.0,1793,179,47,68.7,48.7,61.9,4.9,83.9
2,1,2,1323,64.0,4.85,91.6,51.6,465.0,65,10,0,77.1,38.7,98.3,2.2,96.2
3,1,3,28315,,14.68,71.1,37.2,8002.0,2955,119,74,76.9,55.2,72.6,1.0,71.0
4,1,4,90239,8653.0,9.59,79.8,26.1,10373.0,4215,979,373,83.3,60.4,98.1,4.1,98.4
5,1,5,23747,3931.0,16.56,90.0,52.3,7966.0,760,158,23,78.7,47.9,74.1,1.1,81.8
6,1,6,664,101.0,15.27,72.1,26.7,310.0,110,9,3,74.2,69.4,72.7,2.7,91.4
7,1,7,74550,11137.0,14.94,60.6,40.0,12093.0,3298,533,149,94.4,41.0,74.4,2.9,79.2
8,1,8,29403,3611.0,12.28,56.1,34.5,7043.0,1074,87,17,74.1,89.4,85.7,1.1,96.6
9,1,9,7689,1095.0,14.24,92.6,42.1,852.0,483,54,7,65.2,88.2,66.4,2.1,91.6
10,1,10,35298,1393.0,3.95,74.7,33.2,11388.0,1778,232,64,39.9,57.0,96.6,1.3,68.9
11,1,11,53001,2620.0,4.94,72.4,23.8,15101.0,5352,499,72,74.6,35.8,85.8,4.0,76.8
12,1,12,35293,1935.0,5.48,60.9,39.2,3400.0,2462,235,51,65.0,75.2,64.2,3.8,74.9
13,1,13,89890,6339.0,7.05,59.5,35.0,19741.0,6073,333,248,50.9,52.6,75.1,0.7,74.1
14,1,14,58443,3418.0,5.85,59.7,22.3,27888.0,8370,537,96,85.2,87.3,99.4,4.5,80.9
15,1,15,2121,318.0,15.04,,51.2,735.0,117,12,7,96.4,64.7,77.4,1.3,83.8
16,1,16,1516,145.0,9.59,76.3,29.5,624.0,239,19,3,39.7,79.4,81.9,1.5,69.6
17,1,17,1190,66.0,5.62,77.9,34.8,140.0,26,6,2,78.0,51.6,83.7,0.6,94.1
18,1,18,2018,254.0,12.63,66.2,39.2,267.0,89,6,4,50.3,55.1,81.7,4.2,96.8
19,1,19,49086,,10.69,95.7,46.0,7004.0,1835,169,136,85.9,44.6,87.5,1.6,63.1
20,1,20,26219,1717.0,6.55,88.7,28.8,5700.0,2207,154,77,37.7,49.2,60.5,4.4,68.9
21,1,21,84550,3552.0,4.2,68.0,28.8,17391.0,6492,456,240,44.8,70.2,69.4,1.0,74.3
22,1,22,379,36.0,9.56,57.0,26.4,118.0,24,3,2,65.4,48.2,65.9,4.1,57.9
23,1,23,37869,1208.0,3.19,61.4,37.9,18220.0,6443,444,47,45.0,39.2,70.7,4.7,75.4
24,1,24,19469,2056.0,10.56,68.5,47.2,10178.0,2579,305,45,56.4,67.4,96.8,0.6,98.9
25,1,25,3832,440.0,11.48,55.6,27.0,559.0,230,26,10,57.7,38.2,85.1,2.0,93.7
26,1,26,199868,20165.0,10.09,50.9,28.1,22589.0,16829,1231,526,41.8,88.3,86.7,2.3,60.8
27,1,27,15937,721.0,4.53,77.7,34.2,5648.0,1742,54,23,46.3,89.0,,2.0,96.9
28,1,28,47835,6995.0,14.62,91.0,41.9,9116.0,7725,300,172,56.0,95.8,,4.5,82.7
29,1,29,29787,2912.0,9.78,73.1,38.6,8578.0,2544,228,69,42.7,95.0,72.6,4.6,61.4
30,1,30,14224,2532.0,17.81,77.9,25.9,2212.0,1061,35,38,63.3,75.2,73.2,0.7,61.4
31,1,31,355,60.0,17.07,95.4,60.6,88.0,12,2,0,32.8,73.5,92.6,3.7,81.5
32,1,32,1217,49.0,4.1,82.0,56.8,372.0,114,7,2,72.9,55.4,92.4,3.7,78.1
33,2,1,38117,2295.0,6.02,59.0,35.0,5497.0,3730,140,72,76.0,74.1,65.4,3.3,91.5
34,2,2,1823,237.0,13.01,96.8,53.3,180.0,124,11,3,65.2,76.4,89.9,1.3,96.1
35,2,3,30324,1348.0,4.45,68.3,46.5,8688.0,765,148,56,31.1,69.7,96.6,4.8,70.2
36,2,4,95354,13284.0,13.93,45.7,15.8,29321.0,6347,349,183,84.0,64.5,61.6,3.9,64.0
37,2,5,28162,1045.0,3.71,83.8,37.1,3414.0,1988,197,23,93.7,78.0,73.1,1.6,63.4
38,2,6,844,117.0,13.92,54.5,16.5,207.0,99,9,2,67.3,41.6,92.6,2.7,78.7
39,2,7,31965,3094.0,9.68,91.7,53.9,10000.0,2377,550,192,48.1,89.9,99.9,4.4,88.0
40,2,8,16433,1010.0,6.15,73.3,37.8,4736.0,1120,75,20,74.9,70.7,98.3,2.0,86.4
41,2,9,2938,436.0,14.85,58.7,39.9,588.0,166,54,20,39.7,36.5,98.3,2.9,85.1
42,2,10,35123,1414.0,4.03,64.7,23.4,9607.0,1394,250,83,45.6,92.7,69.9,2.9,68.5
43,2,11,75390,2787.0,3.7,55.0,36.3,18025.0,4899,534,52,39.6,38.1,78.5,3.4,79.3
44,2,12,14603,2316.0,15.87,74.4,26.4,4557.0,1834,175,76,58.1,88.5,89.6,3.5,94.8
45,2,13,95888,13908.0,14.5,58.4,22.3,9684.0,3180,666,185,50.8,70.0,78.0,3.1,73.8
46,2,14,115078,18500.0,16.08,93.1,59.5,18082.0,11039,821,313,64.9,72.0,93.4,1.2,75.1
47,2,15,2926,242.0,8.3,91.5,51.8,813.0,240,17,7,89.3,96.5,90.4,3.1,86.0
48,2,16,2912,160.0,5.53,50.2,35.0,997.0,140,20,5,38.2,89.2,73.7,4.0,98.2
49,2,17,1184,,6.36,57.9,34.0,188.0,91,9,2,87.9,96.3,94.5,3.2,61.5
50,2,18,1457,99.0,6.81,61.7,36.4,270.0,196,13,2,59.6,53.4,64.8,2.6,77.3
51,2,19,47646,2875.0,6.03,81.0,43.7,8295.0,4013,354,91,36.2,92.2,75.7,4.3,87.3
52,2,20,14690,2223.0,15.14,62.4,40.2,7484.0,1669,68,83,92.2,95.6,96.8,2.6,93.3
53,2,21,69595,9524.0,13.69,50.5,29.4,8994.0,3085,297,93,36.4,63.6,91.2,3.8,65.6
54,2,22,487,58.0,11.99,76.9,25.4,78.0,41,1,1,45.3,58.8,90.3,2.2,69.4
55,2,23,31986,804.0,2.51,54.2,16.8,22236.0,6369,601,218,90.9,73.2,88.9,2.0,57.5
56,2,24,27213,3632.0,13.35,76.3,39.9,10349.0,1548,120,89,60.0,92.6,77.5,1.9,90.1
57,2,25,2532,324.0,12.82,73.8,43.8,1129.0,157,26,10,82.7,61.7,67.6,4.6,82.0
58,2,26,124012,16042.0,12.94,75.9,46.0,,13039,639,519,56.0,57.4,63.3,4.2,61.0
59,2,27,18017,700.0,3.89,50.1,15.9,4496.0,1754,89,50,83.4,59.7,,4.1,99.5
60,2,28,98870,16266.0,16.45,72.4,43.2,29565.0,5847,370,230,68.1,44.7,96.5,2.6,58.2
61,2,29,27419,2493.0,9.09,88.4,43.1,3030.0,1814,100,51,85.3,45.1,66.3,3.4,74.9
62,2,30,5494,495.0,9.02,96.1,47.1,1422.0,933,65,32,43.3,94.4,60.1,4.5,57.8
63,2,31,193,14.0,7.59,91.3,51.8,30.0,6,0,0,51.6,96.2,91.8,1.1,55.9
64,2,32,1047,137.0,13.14,69.4,21.5,189.0,59,9,1,50.7,69.0,83.2,1.0,56.7
65,3,1,52508,4355.0,8.3,45.2,29.2,4609.0,2424,408,72,73.7,96.6,64.4,2.3,71.7
66,3,2,761,56.0,7.42,65.0,44.6,158.0,128,7,0,53.6,45.9,74.6,4.0,95.0
67,3,3,18491,2839.0,15.36,80.4,24.4,6491.0,2694,208,25,128.3,136.3,96.0,4.2,64.7
68,3,4,145250,20366.0,14.02,78.6,49.3,11202.0,3170,788,100,76.6,64.9,66.5,0.5,68.6
69,3,5,13621,1229.0,9.03,74.9,49.6,8661.0,893,63,24,95.7,50.5,75.6,1.4,78.9
70,3,6,997,151.0,15.17,70.9,34.3,175.0,117,11,1,84.5,45.8,81.1,3.3,82.9
71,3,7,36835,4405.0,11.96,84.2,52.5,16119.0,2036,216,64,97.1,58.4,90.8,3.0,69.0
72,3,8,11735,1939.0,16.52,87.5,58.9,5254.0,1821,193,72,65.4,39.4,66.5,4.6,58.5
73,3,9,NA,,13.99,45.1,16.9,925.0,503,16,5,42.7,74.5,68.9,4.3,72.4
74,3,10,30293,2428.0,8.02,66.7,32.1,5479.0,2115,167,40,89.9,42.2,62.5,1.3,76.8
75,3,11,42871,7566.0,17.65,99.0,56.0,15359.0,5420,176,199,75.2,74.0,90.6,1.2,60.2
76,3,12,36215,1478.0,4.08,83.8,53.7,4923.0,2204,173,87,72.8,83.1,89.7,3.4,71.1
77,3,13,71733,11306.0,15.76,90.6,47.1,,2123,305,251,31.1,89.0,98.9,1.3,70.4
78,3,14,141058,6035.0,4.28,,49.0,33189.0,5554,328,249,79.5,43.7,69.5,2.5,80.3
79,3,15,2218,254.0,11.49,75.6,25.0,455.0,146,16,8,83.8,84.9,83.4,3.1,91.7
80,3,16,1897,83.0,4.41,50.1,34.3,919.0,222,10,1,73.5,79.1,88.4,3.0,56.5
81,3,17,915,43.0,4.75,62.5,41.8,196.0,100,4,1,83.9,53.2,69.9,3.5,64.6
82,3,18,2341,307.0,13.11,62.8,30.6,486.0,153,6,2,96.7,49.3,66.6,2.3,88.9
83,3,19,22323,1671.0,7.49,,18.1,13577.0,2616,358,120,97.0,52.7,80.9,2.8,78.4
84,3,20,12986,1524.0,11.74,83.1,54.6,7682.0,1382,109,58,93.8,40.1,74.9,3.2,60.8
85,3,21,80031,11239.0,14.04,75.7,26.5,21412.0,1998,642,148,64.2,56.2,81.9,4.4,72.6
86,3,22,488,79.0,16.22,59.9,26.7,66.0,24,2,1,96.4,40.9,72.2,1.1,87.5
87,3,23,59042,4813.0,8.15,88.4,48.9,14712.0,2232,328,45,48.2,91.8,72.0,3.3,89.9
88,3,24,26568,1151.0,4.33,56.0,29.1,3685.0,1122,307,75,46.3,51.8,99.8,2.9,60.3
89,3,25,2319,328.0,14.19,81.3,39.7,610.0,289,14,5,90.9,52.9,80.0,1.3,55.5
