outbreak_id,date_id,state_id,disease_id,source_id,new_outbreak_flag,controlled_flag,containment_rate_pct,response_time_hours,alert_level,predicted_cases,historical_cases,forecast_accuracy_pct,hospital_readiness_score,resource_readiness_score,emergency_alert_flag,state_name_raw
1,6,3,6,6,YES,Yes,100.0,55.2,High,42,44,97.8,62.4,71.6,False,Assam
2,28,32,4,3,YES,Yes,93.5,38.9,Moderate,2772,3768,74.5,99.0,75.9,0,Puducherry
3,8,20,3,4,Y,TRUE,100.0,80.9,Moderate,4406,3434,71.4,67.1,62.8,False,Punjab
4,23,2,12,4,Y,TRUE,82.9,49.0,Moderate,3024,3885,80.7,70.1,55.7,False,Arunachal Pradesh
5,7,32,8,5,True,YES,100.0,73.2, High ,1232,1013,75.1,51.0,71.6,N,Puducherry
6,16,28,9,3,Yes,Yes,68.9,60.6,Moderate,3156,3576,91.0,73.6,43.2,FALSE,West Bengal
7,26,11,8,2,YES,N,61.2,95.2,Low,3753,2779,68.7,76.1,70.3,N,Karnataka
8,28,29,9,5,TRUE,FALSE,52.9,14.0,Moderate,607,721,85.7,87.2,61.4,NO,Delhi (NCT)
9,29,26,2,2,1,FALSE,85.6,84.6,High,1386,1842,73.2,69.4,72.6,1,Uttar Pradesh
10,35,1,8,3,1,1,68.1,60.1,moderate,4923,4467,91.8,73.3,78.4,No,Andhra Pradesh
11,9,21,6,2,Y,yes,73.2,21.2,Low,2496,2019,79.6,56.0,55.0,0,Rajasthan
12,32,25,5,5,yes,TRUE,44.8,9.0,Moderate,6642,4813,57.8,59.1,57.1,0,Tripura
13,2,21,1,3,Yes,False,69.9,55.6,High,3478,3318,95.7,63.0,49.8,N,Rajasthan
14,7,25,6,5,Yes,True,50.9,78.2,moderate,2794,3113,91.8,93.4,33.9,NO,Tripura
15,23,26,6,4,Yes,FALSE,62.0,78.9,Moderate,6642,4872,59.8,84.5,65.9,No,Uttar Pradesh
16,20,28,1,1,Yes,TRUE,45.3,48.1,Moderate,1080,968,91.0,81.2,62.6,0,West Bengal
17,12,17,5,5,Y,1,57.8,,Moderate,1039,1479,70.7,72.0,81.6,False,Mizoram
18,32,23,11,2,TRUE,Yes,26.6,49.5,Low,4081,3196,,36.2,63.8,False,Tamil Nadu
19,10,13,1,2,yes,TRUE,57.8,68.0, Moderate ,5277,4930,95.7,77.0,29.2,No,Madhya Pradesh
20,5,26,11,5,True,Yes,78.7,,Low,3170,2519,72.6,64.7,70.8,N,Uttar Pradesh
21,23,10,3,2,True,Yes,79.6,6.6,High,3764,4389,80.9,69.1,43.6,TRUE,Jharkhand
22,36,2,7,4,TRUE,YES,80.0,36.7,Low,1353,1286,92.0,67.3,84.1,No,Arunachal Pradesh
23,9,17,3,4,YES,no,100.0,76.8,Moderate,1015,1232,79.3,70.4,88.2,FALSE,Mizoram
24,29,24,4,6,yes,Yes,91.7,43.8,Moderate,1854,2484,78.0,61.6,70.2,FALSE,Telangana
25,21,32,12,3,yes,Y,72.2,94.8,Moderate,5739,4172,65.8,59.6,66.8,FALSE,Puducherry
26,24,27,11,1,TRUE,N,38.2,62.4,low,519,525,100.0,89.2,53.8,0,Uttarakhand
27,32,14,6,3,YES,yes,50.7,70.6,Low,3980,3552,87.0,46.7,59.5,no,Maharashtra
28,5,18,7,6,True,Y,71.8,12.2,High,2820,3187,89.3,67.1,96.5,no,Nagaland
29,33,13,11,2,True,no,60.0,68.6,Low,3508,3800,90.9,68.7,69.4,0,Madhya Pradesh
30,15,23,11,2,True,Y,72.0,2.6,Low,2189,1921,82.5,76.4,82.5,False,Tamil Nadu
31,32,14,7,5,yes,NO,,22.8,Moderate,1169,1333,92.4,86.3,58.7,NO,Maharashtra
32,2,30,8,5,1,yes,68.4,22.9,Low,3699,2951,74.2,70.7,38.3,NO,Jammu and Kashmir
33,11,27,10,6,yes,yes,85.2,60.3,Moderate,5421,4047,62.2,48.7,44.0,NO,Uttarakhand
34,28,22,9,6,True,yes,,38.0,Low,3538,2533,60.4,38.0,75.7,no,Sikkim
35,4,24,12,3,Y,Y,87.6,59.3,Low,2767,3299,83.9,81.8,87.8,NO,Telangana
36,1,4,8,5,True,YES,28.5,68.4,Low,2611,3604,72.9,78.3,92.6,0,Bihar
37,3,30,8,2,True,1,88.4,64.3,Moderate,5326,3870,63.0,41.0,90.6,no,Jammu and Kashmir
38,18,23,11,2,1,Yes,81.3,66.3,Moderate,3369,4480,73.2,77.0,54.3,No,Tamil Nadu
39,27,9,6,3,Yes,TRUE,70.4,8.4,Low,1494,2054,75.3,,72.4,NO,Himachal Pradesh
40,1,20,6,5,Yes,yes,53.3,28.7,Low,3362,3080,92.5,76.9,69.0,NO,Punjab
41,22,15,2,3,True,TRUE,,26.2,Low,5101,4384,82.6,78.3,80.0,FALSE,Manipur
42,15,15,8,3,YES,Yes,100.0,4.7,Moderate,1947,1682,81.8,81.2,78.7,False,Manipur
43,7,8,3,1,yes,True,83.9,48.7,Low,2437,1899,,53.6,98.1,NO,Haryana
44,26,23,3,2,1,N,45.8,2.2,Moderate,2610,3609,68.3,48.1,93.9,False,Tamil Nadu
45,25,12,11,5,yes,Y,99.7,58.2,Moderate,4713,4004,82.1,41.2,77.3,NO,Kerala
46,34,13,9,3,yes,No,96.2,,Low,2720,2770,94.3,72.6,94.4,no,Madhya Pradesh
47,28,3,10,5,YES,no,94.8,36.8,MODERATE,5024,4357,87.2,95.9,66.8,No,Assam
48,6,31,11,3,yes,False,42.5,76.7,Low,2969,3986,70.9,82.5,47.7,FALSE,Ladakh
49,15,30,12,2,Y,YES,84.8,62.0,Moderate,5669,4764,80.7,56.5,66.9,0,Jammu and Kashmir
50,7,27,8,4,Yes,True,49.8,56.9,Low,1699,1777,90.9,75.9,57.5,NO,Uttarakhand
51,6,21,8,6,True,True,17.4,75.7,Low,1741,2361,70.6,56.3,42.8,FALSE,Rajasthan
52,11,28,5,4,Yes,0,,86.1,Low,788,806,97.3,64.0,79.1,no,West Bengal
53,34,8,9,4,YES,No,74.5,70.7,Moderate,1012,1281,80.1,74.5,71.6,0,HARYANA
54,4,28,10,4,YES,Yes,92.4,91.4,Moderate,1800,1853,100.0,97.3,64.4,False,West Bengal
55,16,22,2,1,yes,yes,49.8,44.3,Low,5650,4086,66.3,44.1,68.0,No,Sikkim
56,22,10,3,4,Y,NO,69.7,76.9,Moderate,5280,4838,88.2,78.3,63.6,FALSE,Jharkhand
57,7,12,4,5,1,1,73.7,77.9,Low,207,273,78.6,80.2,56.2,No,Kerala
58,20,23,2,1,YES,yes,59.1,25.7,Moderate,475,449,93.0,71.9,87.7,0,Tamil Nadu
59,16,26,5,2,True,TRUE,44.4,63.3,High,2312,2101,91.9,95.0,73.8,YES,Uttar Pradesh
60,7,16,5,3,Y,Y,54.4,38.7,Low,3273,4275,80.9,83.8,75.7,N,Meghalaya
61,12,5,2,1,TRUE,no,56.6,66.9,Low,3729,2878,71.0,66.5,46.7,FALSE,Chhattisgarh
62,17,13,2,6,yes,YES,61.5,13.0,Moderate,2994,4130,71.0,83.3,76.0,N,Madhya Pradesh
63,24,15,2,2,TRUE,0,22.8,20.1,Moderate,420,512,86.6,44.2,38.0,N,Manipur
64,31,8,11,4,YES,TRUE,65.2,79.8,Low,2252,2051,92.2,62.4,65.1,0,Haryana
65,8,30,10,1,Y,YES,36.1,43.5,High,1242,952,70.7,72.5,63.8,False,Jammu and Kashmir
66,11,8,7,6,Yes,TRUE,57.8,80.2,Moderate,768,642,83.2,83.6,58.4,0,Haryana
67,32,15,10,5,YES,Y,100.0,59.3,Low,3083,2564,80.5,45.4,73.1,0,Manipur
68,5,21,8,4,Yes,True,20.6,20.5,Low,1216,1021,76.6,61.2,60.2,No,Rajasthan
69,23,9,10,1,Y,TRUE,65.6,14.2,Low,106,77,65.4,67.6,72.8,no,Himachal Pradesh
70,23,6,6,3,yes,No,60.7,69.1,Low,815,909,91.8,75.2,92.9,No,Goa
71,12,1,3,5,YES,0,77.6,7.0,Low,3349,2436,61.8,75.2,59.6,N,Andhra Pradesh
72,36,3,4,3,Yes,NO,68.9,9.9,Low,1669,2167,,53.1,83.2,0,Assam
73,21,26,8,6,True,No,73.9,39.3,Low,2918,2977,100.0,92.3,64.3,no,Uttar Pradesh
74,1,14,5,6,yes,yes,74.3,,Moderate,896,869,98.7,70.1,55.5,FALSE,MAHARASHTRA
75,5,10,4,1,Yes,No,21.0,77.1,Moderate,4654,3538,65.7,89.8,42.4,NO,Jharkhand
76,36,9,8,3,Yes,YES,54.7,9.5,Low,3569,3576,100.0,83.9,86.2,NO,Himachal Pradesh
77,18,25,1,2,Yes,Yes,50.5,57.4,Low,2453,3258,,47.4,95.8,NO,Tripura
78,35,11,6,5,TRUE,NO,100.0,31.1,Low,5788,4913,78.9,87.4,75.9,FALSE,Karnataka
79,5,25,9,4,YES,Y,67.5,82.3,Moderate,1618,1625,100.0,65.3,54.6,False,Tripura
80,1,16,9,1,TRUE,TRUE,70.9,12.7,Moderate,1606,1780,88.3,81.2,64.5,N,Meghalaya
81,16,25,10,5,TRUE,yes,54.0,46.7,Moderate,3536,3208,94.8,66.6,100.0,FALSE,TRIPURA
82,32,28,8,3,YES,Yes,70.4,19.8,Low,2019,2625,80.8,71.5,85.8,no,West Bengal
83,7,4,8,4,YES,no,66.5,7.1,Low,2290,1896,75.8,88.1,70.0,0,Bihar
84,24,2,11,3,Yes,YES,52.2,79.8,Moderate,668,909,74.4,41.7,86.6,NO,Arunachal Pradesh
85,30,1,9,5,True,Yes,67.1,76.7,Moderate,5048,4269,86.6,92.8,72.7,0,Andhra Pradesh
86,17,20,6,5,Y,YES,8.9,80.9,Low,2296,1882,81.3,78.5,68.5,0,Punjab
87,26,23,6,2,Y,Y,60.2,79.5,Low,3740,4074,92.8,81.3,81.0,N,Tamil Nadu
88,6,16,8,1,TRUE,True,35.8,56.7,Moderate,1713,1293,65.9,90.7,69.8,FALSE,Meghalaya
