state_id,state_name,region,latitude,longitude,population,area_sq_km,population_density
1,Andhra Pradesh,South,15.9129,79.74,53900000,162970,330.73571823034916
2,Arunachal Pradesh,Northeast,28.218,94.7278,1600000,83743,19.10607453757329
3,Assam,Northeast,26.2006,92.9376,35600000,78438,453.8616486906856
4,Bihar,East,25.0961,85.3131,124800000,94163,1325.361341503563
5,Chhattisgarh,Central,21.2787,81.8661,29400000,135192,217.46848925971952
6,Goa,West,15.2993,74.124,1600000,3702,432.1988114532685
7,Gujarat,West,22.2587,71.1924,70400000,196244,358.737082407615
8,Haryana,North,29.0588,76.0856,28900000,44212,653.668687234235
9,Himachal Pradesh,North,31.1048,77.1734,7300000,55673,131.12280638729726
10,Jharkhand,East,23.6102,85.2799,38600000,79716,484.2189773696623
11,Karnataka,South,15.3173,75.7139,67600000,191791,352.46700835805643
12,Kerala,South,10.8505,76.2711,35700000,38852,918.8716153608566
13,Madhya Pradesh,Central,22.9734,78.6569,85400000,308245,277.0523447257863
14,Maharashtra,West,19.7515,75.7139,123100000,307713,400.0480967654925
15,Manipur,Northeast,24.6637,93.9063,3100000,22327,138.84534420208715
16,Meghalaya,Northeast,25.467,91.3662,3400000,22429,151.58946007401133
17,Mizoram,Northeast,23.1645,92.9376,1200000,21081,56.92329585883023
18,Nagaland,Northeast,26.1584,94.5624,2200000,16579,132.69799143494782
19,Odisha,East,20.9517,85.0985,46400000,155707,297.9955942892741
20,Punjab,North,31.1471,75.3412,30100000,50362,597.6728485763075
21,Rajasthan,North,27.0238,74.2179,81000000,342239,236.676708382154
22,Sikkim,Northeast,27.533,88.5122,700000,7096,98.64712514092446
23,Tamil Nadu,South,11.1271,78.6569,77800000,130060,598.1854528679071
24,Telangana,South,18.1124,79.0193,39600000,112077,353.32851521721676
25,Tripura,Northeast,23.9408,91.9882,4099999,10486,390.9974251382796
26,Uttar Pradesh,North,26.8467,80.9462,231500000,240928,960.8679771550006
27,Uttarakhand,North,30.0668,79.0193,32900000,53483,615.1487388515977
28,West Bengal,East,22.9868,87.855,99600000,88752,1122.2282314764739
29,Delhi (NCT),North,28.7041,77.1025,32900000,1484,22169.811320754718
30,Jammu and Kashmir,North,33.7782,76.5762,13600000,42241,321.96207476148766
31,Ladakh,North,34.1526,77.5771,300000,59146,5.072194231224428
32,Puducherry,South,11.9416,79.8083,1500000,479,3131.5240083507306
