date_id,full_date,year,month_num,month_name,quarter,year_month
1,2022-01-01,2022,1,January,Q1,2022-01
2,2022-02-01,2022,2,February,Q1,2022-02
3,2022-03-01,2022,3,March,Q1,2022-03
4,2022-04-01,2022,4,April,Q2,2022-04
5,2022-05-01,2022,5,May,Q2,2022-05
6,2022-06-01,2022,6,June,Q2,2022-06
7,2022-07-01,2022,7,July,Q3,2022-07
8,2022-08-01,2022,8,August,Q3,2022-08
9,2022-09-01,2022,9,September,Q3,2022-09
10,2022-10-01,2022,10,October,Q4,2022-10
11,2022-11-01,2022,11,November,Q4,2022-11
12,2022-12-01,2022,12,December,Q4,2022-12
13,2023-01-01,2023,1,January,Q1,2023-01
14,2023-02-01,2023,2,February,Q1,2023-02
15,2023-03-01,2023,3,March,Q1,2023-03
16,2023-04-01,2023,4,April,Q2,2023-04
17,2023-05-01,2023,5,May,Q2,2023-05
18,2023-06-01,2023,6,June,Q2,2023-06
19,2023-07-01,2023,7,July,Q3,2023-07
20,2023-08-01,2023,8,August,Q3,2023-08
21,2023-09-01,2023,9,September,Q3,2023-09
22,2023-10-01,2023,10,October,Q4,2023-10
23,2023-11-01,2023,11,November,Q4,2023-11
24,2023-12-01,2023,12,December,Q4,2023-12
25,2024-01-01,2024,1,January,Q1,2024-01
26,2024-02-01,2024,2,February,Q1,2024-02
27,2024-03-01,2024,3,March,Q1,2024-03
28,2024-04-01,2024,4,April,Q2,2024-04
29,2024-05-01,2024,5,May,Q2,2024-05
30,2024-06-01,2024,6,June,Q2,2024-06
31,2024-07-01,2024,7,July,Q3,2024-07
32,2024-08-01,2024,8,August,Q3,2024-08
33,2024-09-01,2024,9,September,Q3,2024-09
34,2024-10-01,2024,10,October,Q4,2024-10
35,2024-11-01,2024,11,November,Q4,2024-11
36,2024-12-01,2024,12,December,Q4,2024-12
