fact_id,date_id,state_id,aqi,rainfall_mm,temperature_c,water_quality_index,sanitation_coverage_pct,healthcare_accessibility_score,mosquito_breeding_index,zoonotic_disease_incidence,geographic_risk_score,environmental_risk_score,case_rate_per_100k,hotspot_flag
1,1,1,147.3,10.4,18.4,70.5,56.9,88.5,45.7,15.0,45.0,40.8,21.3,NO
2,1,2,106.4,57.2,16.9,94.2,96.1,52.8,21.1,15.7,21.3,22.9,80.9,NO
3,1,3,142.2,7.2,16.4,54.5,93.1,94.5,18.9,29.8,33.2,41.4,122.5,No
4,1,4,129.2,26.8,10.7,78.4,,89.5,48.9,21.2,31.9,33.7,164.0,yes
5,1,5,120.8,44.3,20.4,60.8,70.5,84.9,39.7,11.8,39.4,35.3,117.0,False
6,1,6,201.8,39.0,11.0,80.2,58.1,87.0,20.4,21.8,42.9,57.5,110.5,False
7,1,7,204.5,43.1,16.7,60.0,68.9,85.5,26.0,28.6,44.9,57.2,108.4,no
8,1,8,115.3,33.5,11.6,79.4,83.3,53.4,26.2,9.7,33.2,32.7,110.0,FALSE
9,1,9,213.1,50.9,18.1,,,87.4,44.3,13.1,38.0,57.9,33.8,False
10,1,10,92.3,5.7,11.2,63.1,76.2,93.8,29.9,4.5,37.2,34.0,241.1,YES
11,1,11,188.7,7.9,15.6,66.7,92.9,41.4,61.1,13.4,34.9,56.2,90.6,NO
12,1,12,98.1,59.7,19.0,60.8,85.5,45.6,34.7,8.0,40.0,27.7,19.1,FALSE
13,1,13,178.8,45.6,11.5,62.5,71.7,79.6,33.4,1.9,44.0,55.0,53.2,NO
14,1,14,94.1,37.6,20.9,40.8,83.6,81.0,14.2,23.3,38.0,32.8,20.3,No
15,1,15,142.8,36.2,9.0,86.6,57.9,79.5,39.7,16.4,35.7,39.1,178.3,Y
16,1,16,101.1,4.5,12.2,41.0,87.5,44.5,48.6,19.0,43.4,32.9,30.5,FALSE
17,1,17,234.4,50.7,15.5,,58.1,47.8,31.9,13.9,45.6,72.5,200.9,TRUE
18,1,18,208.7,18.5,16.8,69.8,85.0,80.1,58.1,5.1,30.7,62.8,195.0,Y
19,1,19,182.2,2.8,10.3,48.5,70.6,71.8,9.6,14.3,44.2,56.4,136.3,N
20,1,20,100.0,31.2,15.9,64.2,86.9,45.9,48.2,13.7,37.0,34.6,128.8,False
21,1,21,231.2,52.9,13.1,71.9,,52.3,13.1,14.5,37.1,64.3,154.7,1
22,1,22,116.7,30.1,16.3,46.9,97.2,67.4,10.2,12.8,39.5,40.9,126.7,False
23,1,23,193.1,39.8,14.7,56.7,56.3,89.2,9.9,26.7,44.9,52.3,186.8,Yes
24,1,24,127.8,40.3,14.4,85.0,82.0,59.6,46.8,12.9,29.5,38.3,232.5,yes
25,1,25,137.1,11.5,11.6,57.5,74.6,42.3,14.5,21.6,41.8,46.4,29.1,no
26,1,26,95.6,25.6,9.3,48.7,59.2,63.0,39.2,9.3,48.5,37.7,162.1,Y
27,1,27,117.4,20.2,15.8,71.9,87.5,70.4,37.8,18.5,31.1,31.1,105.7,no
28,1,28,131.5,41.1,9.5,73.0,93.8,60.3,22.6,6.9,33.8,42.3,191.7,Y
29,1,29,148.3,16.0,15.6,74.1,55.8,57.8,27.5,12.9,37.0,46.4,236.1,TRUE
