fact_id,date_id,state_id,program_id,program_coverage_pct,people_screened,beneficiaries_reached,maternal_health_beneficiaries,child_immunization_count,children_population,adults_population,elderly_population,high_risk_individuals,chronic_disease_patients,health_vulnerability_index,socioeconomic_score
1,1,1,1,85.0,135857.0,115673.0,18060,8431493.0,13215224,31231346,6957695,19425,16015,25.0,42.9
2,1,1,2,65.6,146606.0,102320.0,33298,11757218.0,13215224,31231346,6957695,21466,8878,49.9,45.2
3,1,1,3,44.1,113323.0,97228.0,21849,11858458.0,13215224,31231346,6957695,8402,16404,52.5,37.9
4,1,1,4,59.1,128387.0,86287.0,18308,8340853.0,13215224,31231346,6957695,18276,3194,48.8,40.9
5,1,1,5,67.4,43864.0,20970.0,5091,9117993.0,13215224,31231346,6957695,1982,3710,30.5,62.7
6,1,1,6,71.6,114199.0,49638.0,16072,12897506.0,13215224,31231346,6957695,11016,4973,53.1,63.2
7,1,2,1,98.3,1521.0,,291,339137.0,428284,921925,192916,158,159,51.8,68.0
8,1,2,2,37.5,1554.0,980.0,168,290925.0,428284,921925,192916,207,107,39.8,34.8
9,1,2,3,98.6,2358.0,1029.0,306,326013.0,428284,921925,192916,98,105,62.5,40.4
10,1,2,4,74.0,2233.0,1889.0,524,336055.0,428284,921925,192916,327,58,57.4,72.6
11,1,2,5,36.7,1828.0,924.0,258,268029.0,428284,921925,192916,160,104,31.6,58.3
12,1,2,6,41.1,3962.0,2905.0,632,273212.0,428284,921925,192916,376,106,46.4,49.1
13,1,3,1,82.8,97972.0,84493.0,28525,8761125.0,9873008,21191808,4528133,12282,11871,63.4,34.8
14,1,3,2,69.3,53312.0,23077.0,4815,7470562.0,9873008,21191808,4528133,3794,1619,81.0,64.4
15,1,3,3,37.5,72403.0,29147.0,8571,8828953.0,9873008,21191808,4528133,2869,2547,40.4,77.4
16,1,3,4,67.0,51382.0,23561.0,3142,7571198.0,9873008,21191808,4528133,4241,2820,42.7,29.8
17,1,3,5,41.5,82534.0,59015.0,19276,9650088.0,9873008,21191808,4528133,2954,5245,57.7,64.0
18,1,3,6,69.1,57664.0,31343.0,7361,5978415.0,9873008,21191808,4528133,5184,1429,23.7,76.9
